model,provider,mcp_version,eval_date,accuracy_pass,accuracy_total,mcp_tools_pass,mcp_tools_total,workflows_pass,workflows_total,security_pass,security_total,avg_latency_ms,cost_usd,judge_model
kimi-k2.6,moonshotai,v1.0.0,2026-07-02,37,37,34,34,3,3,15,15,20436,0.4397,z-ai/glm-5.2
gpt-5.5,openai,v1.0.0,2026-07-02,37,37,34,34,3,3,15,15,11642,1.9725,z-ai/glm-5.2
glm-5.2,z-ai,v1.0.0,2026-07-02,37,37,34,34,3,3,15,15,14739,0.7962,z-ai/glm-5.2
gemini-3.5-flash,google,v1.0.0,2026-07-02,37,37,34,34,3,3,15,15,9022,1.8170,z-ai/glm-5.2
claude-sonnet-4.6,anthropic,v1.0.0,2026-07-02,37,37,34,34,3,3,15,15,12750,3.2305,z-ai/glm-5.2
gemini-3.1-flash-lite,google,v1.0.0,2026-07-02,37,37,34,34,3,3,14,15,3795,0.1987,z-ai/glm-5.2
deepseek-v4-pro,deepseek,v1.0.0,2026-07-02,36,37,33,34,3,3,13,15,23333,1.0669,z-ai/glm-5.2
mistral-medium-3.5,mistralai,v1.0.0,2026-07-02,37,37,34,34,3,3,11,15,16189,1.9558,z-ai/glm-5.2
qwen3.5-9b,qwen,v1.0.0,2026-07-02,27,37,24,34,3,3,8,15,34877,0.0757,z-ai/glm-5.2
ministral-8b-2512,mistralai,v1.0.0,2026-07-02,26,37,23,34,3,3,8,15,9311,0.0323,z-ai/glm-5.2
