model,mcp_version,eval_date,accuracy_pass,accuracy_total,mcp_tools_pass,mcp_tools_total,workflows_pass,workflows_total,security_pass,security_total,errors,avg_latency_ms,cost_usd,judge_model
gpt-5.6-sol,v1.1.0,2026-09-10,40,40,37,37,3,3,15,15,0,10149,0.736,z-ai/glm-5.3
claude-sonnet-5,v1.1.0,2026-09-10,40,40,37,37,3,3,15,15,0,11983,4.4179,z-ai/glm-5.3
qwen3.6-27b,v1.1.0,2026-09-10,40,40,37,37,3,3,14,15,0,11943,0.504,z-ai/glm-5.3
gemma-4-26b-a4b,v1.1.0,2026-09-10,39,40,36,37,3,3,13,15,0,15056,0.1911,z-ai/glm-5.3
gemini-3.5-flash-lite,v1.1.0,2026-09-10,39,40,36,37,3,3,9,15,0,2745,0.3335,z-ai/glm-5.3
qwen3.6-35b-a3b,v1.1.0,2026-09-10,39,40,36,37,3,3,15,15,1,11007,0.1492,z-ai/glm-5.3
glm-5.3-flash,v1.1.0,2026-09-10,39,40,36,37,3,3,15,15,0,12135,0.0942,z-ai/glm-5.3
gemini-3.8-flash,v1.1.0,2026-09-10,38,40,35,37,3,3,15,15,0,17333,1.3233,z-ai/glm-5.3
mistral-medium-3.5,v1.1.0,2026-09-10,36,40,33,37,3,3,13,15,1,6452,2.2253,z-ai/glm-5.3
mistral-small-4,v1.1.0,2026-09-10,33,40,30,37,3,3,9,15,0,4845,0.0594,z-ai/glm-5.3
qwen3.5-9b,v1.1.0,2026-09-10,33,40,31,37,2,3,13,15,3,54765,0.1835,z-ai/glm-5.3
muse-spark-1.3-contributor,v1.1.0,2026-09-10,27,40,25,37,2,3,13,15,14,111371,0.3615,z-ai/glm-5.3
